id	Airline	A_ICAO	Time	InitialDate	FinalDate
223251	EJU	UNKNOWN	700	11	31
223253	RYR	EBMB	575	3	29
223254	RYR	EIDW	1105	2	31
223255	RYR	UNKNOWN	615	2	29
223257	RYR	EGSS	1300	2	31
223258	RYR	EGSS	630	2	31
223259	EJU	LEMG	840	2	31
223260	EJU	EGKK	1350	2	31
223261	NAX	ENGM	1160	2	31
223262	RYR	EETN	915	2	31
223263	RYR	LPPT	1310	2	31
223264	RYR	LPAR	1305	5	30
223265	RYR	UNKNOWN	785	2	11
223269	EJU	UNKNOWN	1265	2	31
223270	RYR	UNKNOWN	1235	2	31
223271	RYR	EGSS	550	2	31
223272	RYR	LIPS	960	2	23
223275	RYR	LEBL	740	2	30
223276	RYR	UNKNOWN	750	3	31
223277	RYR	LIME	650	2	21
223278	EJU	UNKNOWN	1365	2	30
223280	RYR	LKCM	920	2	31
223281	RYR	LKTB	920	3	30
223282	EJU	EGKK	675	2	31
223283	RYR	UNKNOWN	1320	2	31
223285	EJU	LSZM	575	2	31
223286	EJU	LIMC	670	2	31
223288	EJU	LEPA	1350	25	31
223289	RYR	EVRA	825	2	31
223290	EJU	LSGG	935	2	31
223291	EZY	EGGD	960	2	31
223292	EJU	LOWW	905	2	31
223293	RYR	UNKNOWN	1065	2	24
223294	RYR	LEPA	1055	25	31
223295	RYR	UNKNOWN	1320	2	27
223296	RYR	LIME	1335	2	31
223298	EJU	LOWS	715	2	28
223299	RYR	LHBP	510	2	31
223300	EJU	EHAM	620	2	31
223301	RYR	UNKNOWN	1150	2	31
223302	EJU	LEBL	730	2	27
223303	EJU	UNKNOWN	735	5	31
223304	EJU	LFPG	1050	2	31
223305	EJU	UNKNOWN	740	2	24
223306	EJU	LEPA	730	25	31
223307	AFL	UUEE	775	2	31
223308	RYR	LEMD	545	2	27
223310	EJU	UNKNOWN	970	2	31
223313	RYR	UNKNOWN	930	2	12
223314	RYR	LIPE	930	13	31
223315	NMA	UNKNOWN	490	2	31
223319	RYR	UNKNOWN	1355	3	29
223325	RYR	UNKNOWN	780	12	31
223330	EJU	UNKNOWN	1020	19	23
223336	FHY	UNKNOWN	155	15	27
223337	WZZ	LBWN	885	17	31
223338	RYR	LIME	650	22	31
223339	RYR	EGCC	915	27	31
223966	SWR	EDDC	645	0	31
223968	KLM	EDDC	1160	0	31
223970	EWG	EDDC	725	0	31
223976	DLH	EDDC	900	2	31
223977	DLH	EDDC	435	2	31
223978	DLH	EDDC	1195	2	31
223981	DLH	EDDC	570	3	31
223982	DLH	EDDC	705	4	31
223984	DLH	EDDC	1100	5	30
223985	DLH	EDDC	635	5	31
223986	SDR	EDDC	500	6	30
223987	EWG	EDDC	710	6	30
223988	SDR	EDDC	995	6	31
223989	DLH	EDDC	865	6	29
223995	DLH	EDDC	410	16	31
223997	AFL	UUEE	785	0	31
223998	SWR	LSZH	515	0	31
223999	KLM	EHAM	1050	0	31
224001	EWG	EDDL	495	0	30
224003	EWG	EDDK	645	0	31
224004	DLH	EDDF	795	2	31
224005	DLH	EDDF	1385	2	31
224006	DLH	EDDF	1095	2	31
224007	DLH	EDDM	1010	2	30
224008	DLH	EDDF	470	3	31
